date_interval,exact_interval_match,independent_reference,endpoint_mapping,profile_choice_frozen_before_reference,disposition,source_id,source_tables,radiocarbon_fossil_ec_ug_m3,radiocarbon_fossil_ec_uncertainty,cmb_fossil_ec_ug_m3,cmb_fossil_ec_uncertainty,cmb_minus_radiocarbon_fossil_ec_ug_m3,radiocarbon_contemporary_ec_ug_m3,radiocarbon_contemporary_ec_uncertainty,cmb_contemporary_ec_ug_m3,cmb_contemporary_ec_uncertainty,cmb_minus_radiocarbon_contemporary_ec_ug_m3,radiocarbon_fossil_oc_ug_m3,radiocarbon_fossil_oc_uncertainty,cmb_fossil_oc_ug_m3,cmb_fossil_oc_uncertainty,cmb_minus_radiocarbon_fossil_oc_ug_m3,radiocarbon_contemporary_oc_ug_m3,radiocarbon_contemporary_oc_uncertainty,cmb_contemporary_oc_ug_m3,cmb_contemporary_oc_uncertainty,cmb_minus_radiocarbon_contemporary_oc_ug_m3
2013-01-18/2013-01-25,yes,radiocarbon,published_fossil_contemporary_OC_EC,no,HOLD,barrett_2015_si,S1;S2,0.052,0.009,0.072,0.012,0.020,0.025,0.004,0.005,0.002,-0.020,0.168,0.012,0.089,0.011,-0.079,0.252,0.018,0.036,0.017,-0.216
2013-02-01/2013-02-08,yes,radiocarbon,published_fossil_contemporary_OC_EC,no,HOLD,barrett_2015_si,S1;S2,0.048,0.007,0.053,0.012,0.005,0.019,0.003,0.016,0.006,-0.003,0.112,0.017,0.046,0.008,-0.066,0.177,0.027,0.110,0.052,-0.067
2013-02-08/2013-02-15,yes,radiocarbon,published_fossil_contemporary_OC_EC,no,HOLD,barrett_2015_si,S1;S2,0.067,0.011,0.072,0.017,0.005,0.030,0.005,0.027,0.010,-0.003,0.323,0.018,0.060,0.010,-0.263,0.417,0.023,0.190,0.070,-0.227
2013-02-25/2013-03-01,yes,radiocarbon,published_fossil_contemporary_OC_EC,no,HOLD,barrett_2015_si,S1;S2,0.018,0.006,0.034,0.006,0.016,0.018,0.006,0.003,0.001,-0.015,0.060,0.009,0.016,0.003,-0.044,0.100,0.016,0.021,0.008,-0.079
